"","label2","estimate_p_Male","estimate_p_Female","CI_Male","CI_Female"
"1","Dep_EpiDoc4~Dep_EpiDoc1","0.17 (0.031)","0.351 (0)","[0.015:0.325]","[0.205:0.496]"
"2","Dep_EpiDoc4~Dep_EpiDoc2","0.247 (0.002)","0.227 (0.003)","[0.089:0.405]","[0.08:0.374]"
"3","Dep_EpiDoc2~Dep_EpiDoc1","0.404 (0)","0.373 (0)","[0.266:0.542]","[0.208:0.538]"
"4","MM_EpiDoc4~MM_EpiDoc2","0.369 (0.016)","0.285 (0.012)","[0.068:0.671]","[0.064:0.506]"
"5","MM_EpiDoc4~MM_EpiDoc1","0.56 (0)","0.347 (0)","[0.385:0.736]","[0.176:0.519]"
"6","MM_EpiDoc2~MM_EpiDoc1","0.102 (0.029)","0.365 (0)","[0.01:0.194]","[0.177:0.553]"
"7","Dep_EpiDoc4~MM_EpiDoc2","0.494 (0.083)","0.675 (0.028)","[-0.065:1.053]","[0.073:1.277]"
"8","Dep_EpiDoc4~MM_EpiDoc1","0.077 (0.697)","-0.309 (0.152)","[-0.312:0.466]","[-0.731:0.114]"
"9","Dep_EpiDoc2~MM_EpiDoc1","0.23 (0.299)","0.086 (0.727)","[-0.205:0.664]","[-0.399:0.572]"
"10","MM_EpiDoc4~Dep_EpiDoc2","0.035 (0.244)","0.001 (0.955)","[-0.024:0.094]","[-0.032:0.034]"
"11","MM_EpiDoc4~Dep_EpiDoc1","0.004 (0.879)","0.028 (0.118)","[-0.052:0.061]","[-0.007:0.062]"
"12","MM_EpiDoc2~Dep_EpiDoc1","0.018 (0.228)","0.009 (0.46)","[-0.011:0.048]","[-0.015:0.034]"
"13","Dep_EpiDoc1~~MM_EpiDoc1","0.549 (0.011)","0.922 (0.003)","[0.126:0.973]","[0.315:1.528]"
"14","Dep_EpiDoc2~~MM_EpiDoc2","0 (NA)","0 (NA)","[0:0]","[0:0]"
"15","Dep_EpiDoc4~~MM_EpiDoc4","0 (NA)","0 (NA)","[0:0]","[0:0]"
"16","Dep_EpiDoc4~Age","0 (NA)","0 (NA)","[0:0]","[0:0]"
"17","Dep_EpiDoc2~Age","0.01 (0.463)","0.01 (0.463)","[-0.016:0.035]","[-0.016:0.035]"
"18","Dep_EpiDoc1~Age","0.046 (0.002)","0.046 (0.002)","[0.017:0.074]","[0.017:0.074]"
"19","MM_EpiDoc4~Age","0.018 (0.011)","0.031 (0)","[0.004:0.033]","[0.017:0.044]"
"20","MM_EpiDoc2~Age","0 (0.914)","-0.005 (0.29)","[-0.003:0.004]","[-0.013:0.004]"
"21","MM_EpiDoc1~Age","0.032 (0)","0.049 (0)","[0.023:0.041]","[0.038:0.059]"
"22","Dep_EpiDoc4~Education","0 (NA)","0 (NA)","[0:0]","[0:0]"
"23","Dep_EpiDoc2~Education","0.49 (0.001)","0.435 (0.04)","[0.202:0.777]","[0.02:0.85]"
"24","Dep_EpiDoc1~Education","0.448 (0.002)","0.776 (0)","[0.161:0.735]","[0.389:1.162]"
"25","MM_EpiDoc4~Education","0 (NA)","0 (NA)","[0:0]","[0:0]"
"26","MM_EpiDoc2~Education","0 (NA)","0 (NA)","[0:0]","[0:0]"
"27","MM_EpiDoc1~Education","0 (NA)","0 (NA)","[0:0]","[0:0]"
"28","Dep_EpiDoc4~~Dep_EpiDoc4","6.91 (0)","9.37 (0)","[4.942:8.878]","[7.3:11.44]"
"29","Dep_EpiDoc2~~Dep_EpiDoc2","6.201 (0)","10.759 (0)","[4.487:7.914]","[8.104:13.414]"
"30","MM_EpiDoc4~~MM_EpiDoc4","0.971 (0)","0.999 (0)","[0.764:1.178]","[0.833:1.166]"
"31","MM_EpiDoc2~~MM_EpiDoc2","0.189 (0)","0.401 (0)","[0.087:0.29]","[0.28:0.521]"
"32","Dep_EpiDoc1~~Dep_EpiDoc1","8.431 (0)","12.642 (0)","[6.156:10.706]","[9.241:16.043]"
"33","MM_EpiDoc1~~MM_EpiDoc1","0.701 (0)","0.782 (0)","[0.531:0.871]","[0.543:1.02]"
"34","Age~~Age","204.021 (NA)","135.726 (NA)","[204.021:204.021]","[135.726:135.726]"
"35","Age~~Education","6.794 (NA)","3.68 (NA)","[6.794:6.794]","[3.68:3.68]"
"36","Education~~Education","1.159 (NA)","1.24 (NA)","[1.159:1.159]","[1.24:1.24]"
"37","Dep_EpiDoc4~1","1.461 (0)","1.293 (0)","[1.042:1.879]","[0.809:1.776]"
"38","Dep_EpiDoc2~1","-0.261 (0.646)","0.513 (0.401)","[-1.383:0.862]","[-0.692:1.719]"
"39","MM_EpiDoc4~1","-0.362 (0.162)","-0.559 (0.015)","[-0.869:0.145]","[-1.01:-0.107]"
"40","MM_EpiDoc2~1","-0.02 (0.756)","0.165 (0.278)","[-0.144:0.105]","[-0.133:0.464]"
"41","Dep_EpiDoc1~1","-0.657 (0.29)","-0.157 (0.819)","[-1.872:0.559]","[-1.5:1.186]"
"42","MM_EpiDoc1~1","-0.785 (0)","-1.335 (0)","[-1.129:-0.441]","[-1.728:-0.941]"
"43","Age~1","44.188 (NA)","42.481 (NA)","[44.188:44.188]","[42.481:42.481]"
"44","Education~1","2.823 (NA)","2.409 (NA)","[2.823:2.823]","[2.409:2.409]"
