"","label2","estimate_p","CI"
"1","ada:=ad1*dd14a+ad2*dd24a+ad1*dd12a*dd24a","0.015 (0.012)","[0.003:0.026]"
"2","adb:=ad1*dd14b+ad2*dd24b+ad1*dd12b*dd24b","0.022 (0.003)","[0.008:0.037]"
"3","amda:=am1a*md14a+am2a*md24a+am1a*mm12a*md24a+ad1*dm12a*md24a","0.005 (0.468)","[-0.008:0.017]"
"4","amdb:=am1b*md14b+am2b*md24b+am1b*mm12b*md24b+ad1*dm12b*md24b","-0.006 (0.589)","[-0.027:0.016]"
"5","adta:=ada+amda","0.019 (0.006)","[0.006:0.033]"
"6","adtb:=adb+amdb","0.016 (0.19)","[-0.008:0.041]"
"7","mda:=md12a*dd24a+mm12a*md24a+md14a","0.183 (0.386)","[-0.23:0.596]"
"8","mdb:=md12b*dd24b+mm12b*md24b+md14b","-0.044 (0.844)","[-0.487:0.399]"
"9","dda:=dm12a*md24a+dd12a*dd24a+dd14a","0.279 (0)","[0.125:0.433]"
"10","ddb:=dm12b*md24b+dd12b*dd24b+dd14b","0.442 (0)","[0.311:0.572]"
"11","eda:=ed1a*dd12a*dd24a+ed2a*dd24a","0.166 (0.012)","[0.036:0.296]"
"12","edb:=ed1b*dd12b*dd24b+ed2b*dd24b","0.164 (0.039)","[0.008:0.319]"
"13","emda:=ed1a*dm12a*md24a","0.004 (0.397)","[-0.005:0.013]"
"14","emdb:=ed1b*dm12b*md24b","0.005 (0.524)","[-0.01:0.02]"
"15","edta:=eda+amda","0.171 (0.009)","[0.042:0.299]"
"16","edtb:=edb+emdb","0.168 (0.037)","[0.01:0.327]"
